district,facility_number,address,hours_requiring_payment,payment_options,floors,clearance_height_(feet),clearance_height_(inches),facility_name,total_capacity,ada_spaces,ada_van_spaces,bike_spaces,car_spaces,motorcycle_spaces,motorcycle_area,other_information,latitude,longitude,5_minute_limit,30_minute_limit,1_hour_limit,2_hour_limit,3_hour_limit,4_hour_limit,9_hour_limit,12_hour_limit,15_hour_limit,parking_convenience_stickers,carpool,restricted,inactive,additional_information,last_update,location
Montgomery Hills,LOT 48,9401 Georgia Avenue,9:00AM-6:00PM Monday through Friday,Coins,0,0,0,Georgia Avenue Lot,38,0,2,0,34,2,0,,39.00896,-77.03988,0,0,5,16,0,0,13,0,0,0,0,34,False,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,05/18/2022,POINT (39.00896 -77.03988)
Wheaton,LOT 14,2425 Hickerson Drive (Blueridge Avenue),9:00AM-6:00PM Monday through Saturday,Coins,0,0,0,Blueridge-Hickerson Lot,108,1,4,0,102,0,1,,39.04284,-77.05054,0,0,0,40,0,0,0,0,62,0,0,102,False,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,05/18/2022,POINT (39.04284 -77.05054)
Silver Spring,LOT 03,8203 Fenton Street (907 Silver Spring Avenue),7:00AM-7:00PM Monday through Friday,Coins,0,0,0,Fenton Street Village Lot,6,1,1,0,3,1,0,,38.99212,-77.02473,0,0,0,0,0,0,0,0,0,0,0,0,False,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,05/18/2022,POINT (38.99212 -77.02473)
Bethesda,LOT 24,4601 Leland Street (Willow Lane),7:00AM-10:00PM Monday through Friday,Coins,0,0,0,Farm Women's Market Lot,223,4,2,2,210,0,5,,38.98112,-77.09131,0,0,15,75,15,0,0,4,98,0,4,207,False,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,05/18/2022,POINT (38.98112 -77.09131)
Silver Spring,GAR 07,8530 Cameron Street (Fenwick Lane),7:00AM-7:00PM Monday through Friday,"Bills, Credit Cards",6,7,0,Cameron-Second Garage,1407,23,11,6,1358,0,9,,38.99671,-77.03095,0,0,0,111,0,2,0,14,1210,0,14,1337,False,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,05/18/2022,POINT (38.99671 -77.03095)
Bethesda,GAR 49,7601 Woodmont Avenue,7:00AM-10:00PM Monday through Friday,"Bills, Credit Cards, Coins",5,6,8,Metropolitan Garage,999,24,0,4,961,0,10,,38.98815,-77.09862,0,0,0,0,106,0,0,4,833,0,4,943,False,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,05/18/2022,POINT (38.98815 -77.09862)
Wheaton,LOT 34,2510 Ennalls Avenue,9:00AM-6:00PM Monday through Saturday,Coins,0,0,0,Ennalls Lot,41,6,4,0,31,0,0,,39.03972,-77.05323,0,0,0,19,0,0,0,0,11,0,0,30,False,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,05/18/2022,POINT (39.03972 -77.05323)
Silver Spring,LOT 09,8040 Kennett Street,7:00AM-7:00PM Monday through Friday,Coins,0,0,0,Kennett Street Garage Lot,67,0,0,0,67,0,0,,38.98816,-77.02877,0,0,0,0,0,0,0,0,0,0,0,0,False,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,05/18/2022,POINT (38.98816 -77.02877)
Bethesda,GAR 35,8216 Woodmont Avenue (Rugby Avenue),7:00AM-10:00PM Monday through Friday,Coins,3,6,8,Woodmont-Rugby Garage,394,10,0,13,366,0,5,,38.99189,-77.09733,0,0,0,91,11,2,0,0,259,0,0,363,False,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,05/18/2022,POINT (38.99189 -77.09733)
Silver Spring,GAR 61,801 Ellsworth Drive,7:00AM-7:00PM Monday through Friday,"Bills, Credit Cards",7,8,2,Town Square Garage,1297,10,14,4,1253,0,16,,38.99774,-77.02534,0,0,0,0,0,2,0,0,1270,0,0,1272,False,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,05/18/2022,POINT (38.99774 -77.02534)
